idiom	meaning	example	origin	used_at	pronunciation_audio	tags	slugs	meaning encoded	example encoded
talk through your hat	["If you're talking through your hat, you're talking about something without knowing much about it, or you claim something is true when it isn't.",""]	["Evan says that quantum physics proves that space and time don't really exist, but Kathy says he's talking through his hat.","I proved that George was talking through his hat by checking on the internet to find out if what he said is true - and it isn't."]				clothing,t	talk through your hat	["If%20you%27re%20talking%20through%20your%20hat%2C%20you%27re%20talking%20about%20something%20without%20knowing%20much%20about%20it%2C%20or%20you%20claim%20something%20is%20true%20when%20it%20isn%27t.",""]	["Evan%20says%20that%20quantum%20physics%20proves%20that%20space%20and%20time%20don%27t%20really%20exist%2C%20but%20Kathy%20says%20he%27s%20talking%20through%20his%20hat.","I%20proved%20that%20George%20was%20talking%20through%20his%20hat%20by%20checking%20on%20the%20internet%20to%20find%20out%20if%20what%20he%20said%20is%20true%20-%20and%20it%20isn%27t."]
talk turkey	["If you talk turkey, you discuss something seriously, usually to do with business or money.",""]	["After the owner had shown him around the apartment, Shane decided it was just what he wanted, so he said, \"OK, I'm interested. Let's talk turkey.\"","I started to say something about the deal, but Mr Hamilton said, \"Not now, my boy. We never talk turkey at the dinner table.\""]				animals,food,money,t	talk turkey	["If%20you%20talk%20turkey%2C%20you%20discuss%20something%20seriously%2C%20usually%20to%20do%20with%20business%20or%20money.",""]	["After%20the%20owner%20had%20shown%20him%20around%20the%20apartment%2C%20Shane%20decided%20it%20was%20just%20what%20he%20wanted%2C%20so%20he%20said%2C%20%5C%22OK%2C%20I%27m%20interested.%20Let%27s%20talk%20turkey.%5C%22","I%20started%20to%20say%20something%20about%20the%20deal%2C%20but%20Mr%20Hamilton%20said%2C%20%5C%22Not%20now%2C%20my%20boy.%20We%20never%20talk%20turkey%20at%20the%20dinner%20table.%5C%22"]
Tea leaf	["Cockney rhyming slang for thief."]	["Just be careful to keep your purse safe when you go down to the market - there are plenty of tea leaves ready to steal it."]	Britain.	Mostly Britain.	https://www.phrases.org.uk/idioms/audio/tea-leaf.mp3	crime,drink,cockney_rhyming_slang	tea leaf	["Cockney%20rhyming%20slang%20for%20thief."]	["Just%20be%20careful%20to%20keep%20your%20purse%20safe%20when%20you%20go%20down%20to%20the%20market%20-%20there%20are%20plenty%20of%20tea%20leaves%20ready%20to%20steal%20it."]
teething problems | teething troubles	["If someone or something is having teething problems, or teething troubles, they're having problems during the early stages of something.",""]	["The government had a few teething problems early in its term, but most people think they did a good job overall.","We're still having a few teething troubles, but when everyone adjusts to their roles, everything should be fine."]	Related to the fact that babies go through a painful stage early in life called "teething", during which their first teeth are growing.			body,health,t	teething problems,teething troubles	["If%20someone%20or%20something%20is%20having%20teething%20problems%2C%20or%20teething%20troubles%2C%20they%27re%20having%20problems%20during%20the%20early%20stages%20of%20something.",""]	["The%20government%20had%20a%20few%20teething%20problems%20early%20in%20its%20term%2C%20but%20most%20people%20think%20they%20did%20a%20good%20job%20overall.","We%27re%20still%20having%20a%20few%20teething%20troubles%2C%20but%20when%20everyone%20adjusts%20to%20their%20roles%2C%20everything%20should%20be%20fine."]
tell (things) apart	["If you can tell things apart, you can see they're not the same by spotting the differences between them.",""]	["I couldn't tell the twins apart when they were babies, but I can tell them apart now.","I've heard all three recordings of the song, and I can't tell them apart. They all sound the same to me."]				t	tell (things) apart	["If%20you%20can%20tell%20things%20apart%2C%20you%20can%20see%20they%27re%20not%20the%20same%20by%20spotting%20the%20differences%20between%20them.",""]	["I%20couldn%27t%20tell%20the%20twins%20apart%20when%20they%20were%20babies%2C%20but%20I%20can%20tell%20them%20apart%20now.","I%27ve%20heard%20all%20three%20recordings%20of%20the%20song%2C%20and%20I%20can%27t%20tell%20them%20apart.%20They%20all%20sound%20the%20same%20to%20me."]
test the waters	["If you test the waters, you try something first before deciding whether to get involved in it.",""]	["You should go to a couple of classes to test the waters before you decide whether to take the course.","Bob is very cautious about committing to anything, and always tests the waters before making a decision."]				t	test the waters	["If%20you%20test%20the%20waters%2C%20you%20try%20something%20first%20before%20deciding%20whether%20to%20get%20involved%20in%20it.",""]	["You%20should%20go%20to%20a%20couple%20of%20classes%20to%20test%20the%20waters%20before%20you%20decide%20whether%20to%20take%20the%20course.","Bob%20is%20very%20cautious%20about%20committing%20to%20anything%2C%20and%20always%20tests%20the%20waters%20before%20making%20a%20decision."]
That Friday feeling	["Anticipation of the weekend after a hard working week."]	["I'm ready for a few jars at the pub after work - I've got that friday feeling."]	20th century origin, although the similar 'Friday face' is known in England since the 16th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/that-friday-feeling.mp3	date,emotion,work	that friday feeling	["Anticipation%20of%20the%20weekend%20after%20a%20hard%20working%20week."]	["I%27m%20ready%20for%20a%20few%20jars%20at%20the%20pub%20after%20work%20-%20I%27ve%20got%20that%20friday%20feeling."]
That sucks	[" An expression of sympathy. "," Said of something that the speaker rates very lowly."]	[" I heard that your child has leukaemia. That sucks - I'm so sorry. "," His singing is out of tune and he just can't dance. The whole performance sucks."]	USA	Mostly USA, bit spreading Worldwide in recent years.	https://www.phrases.org.uk/idioms/audio/that-sucks.mp3	disgust,sympathy,slang,america	that sucks	["%20An%20expression%20of%20sympathy.%20","%20Said%20of%20something%20that%20the%20speaker%20rates%20very%20lowly."]	["%20I%20heard%20that%20your%20child%20has%20leukaemia.%20That%20sucks%20-%20I%27m%20so%20sorry.%20","%20His%20singing%20is%20out%20of%20tune%20and%20he%20just%20can%27t%20dance.%20The%20whole%20performance%20sucks."]
The acid test	[" A scientific test to distinguish between gold and base metals. "," A conclusive test to determine the validity of a claim."]	[" We found a mineral that looked valuable but it might be fools gold - we need to give it the acid test. "," The acid test of the quality of a singer is to ask them to sing unaccompanied."]	USA, mid-19th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/the-acid-test.mp3	science,america	the acid test	["%20A%20scientific%20test%20to%20distinguish%20between%20gold%20and%20base%20metals.%20","%20A%20conclusive%20test%20to%20determine%20the%20validity%20of%20a%20claim."]	["%20We%20found%20a%20mineral%20that%20looked%20valuable%20but%20it%20might%20be%20fools%20gold%20-%20we%20need%20to%20give%20it%20the%20acid%20test.%20","%20The%20acid%20test%20of%20the%20quality%20of%20a%20singer%20is%20to%20ask%20them%20to%20sing%20unaccompanied."]
The apple of my eye	["Someone who is cherished above all others."]	["She's my only child - the apple of my eye."]	Britain, 9th century - making it one of the oldest phrases in the language that is still in regular use in its original form.	Worldwide.	https://www.phrases.org.uk/idioms/audio/the-apple-of-my-eye.mp3	food,fruit,the_human_body,cliche	the apple of my eye	["Someone%20who%20is%20cherished%20above%20all%20others."]	["She%27s%20my%20only%20child%20-%20the%20apple%20of%20my%20eye."]
The author of your own misfortune	["Be to blame for one's own problems."]	["Tommy just took off across the moors with no gear and no phone. He ended up in hospital but no one is too sorry for him - he was the author of his own misfortune."]		Worldwide, but rather old-fashioned.	https://www.phrases.org.uk/idioms/audio/the-author-of-your-own-misfortune.mp3	misfortune,failure	the author of your own misfortune	["Be%20to%20blame%20for%20one%27s%20own%20problems."]	["Tommy%20just%20took%20off%20across%20the%20moors%20with%20no%20gear%20and%20no%20phone.%20He%20ended%20up%20in%20hospital%20but%20no%20one%20is%20too%20sorry%20for%20him%20-%20he%20was%20the%20author%20of%20his%20own%20misfortune."]
the back of beyond | the back of the beyond	["You can say a place is in the back of beyond, or the back of the beyond, if it's very far from towns or cities.",""]	["Why do you want to live way out in the desert? It's in the back of beyond.","Ivan went to visit his cousins in a tiny village in the back of the beyond. It took him a long time to get there."]				b	the back of beyond,the back of the beyond	["You%20can%20say%20a%20place%20is%20in%20the%20back%20of%20beyond%2C%20or%20the%20back%20of%20the%20beyond%2C%20if%20it%27s%20very%20far%20from%20towns%20or%20cities.",""]	["Why%20do%20you%20want%20to%20live%20way%20out%20in%20the%20desert%3F%20It%27s%20in%20the%20back%20of%20beyond.","Ivan%20went%20to%20visit%20his%20cousins%20in%20a%20tiny%20village%20in%20the%20back%20of%20the%20beyond.%20It%20took%20him%20a%20long%20time%20to%20get%20there."]
the ball's in your court	["If someone you're negotiating with says \"the ball's in your court\", they think it's your turn to make a move or make an offer.",""]	["We've offered him ten thousand dollars a month, so the ball's in his court now.","They know our position, so the ball's in their court. If they want to pursue the matter, they'll have to make the next move."]	Metaphorical, from sports such as tennis and badminton in which players take turns to hit a ball over a net into each other's end of the court.			b,sports	the ball's in your court	["If%20someone%20you%27re%20negotiating%20with%20says%20%5C%22the%20ball%27s%20in%20your%20court%5C%22%2C%20they%20think%20it%27s%20your%20turn%20to%20make%20a%20move%20or%20make%20an%20offer.",""]	["We%27ve%20offered%20him%20ten%20thousand%20dollars%20a%20month%2C%20so%20the%20ball%27s%20in%20his%20court%20now.","They%20know%20our%20position%2C%20so%20the%20ball%27s%20in%20their%20court.%20If%20they%20want%20to%20pursue%20the%20matter%2C%20they%27ll%20have%20to%20make%20the%20next%20move."]
The ball is in your court	["It is your turn to make a decision."]	["I've done more than my share in this partnership. The ball is in your court to decide what happens next."]	Britain, mid-20th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/the-ball-is-in-your-court.mp3	sport	the ball is in your court	["It%20is%20your%20turn%20to%20make%20a%20decision."]	["I%27ve%20done%20more%20than%20my%20share%20in%20this%20partnership.%20The%20ball%20is%20in%20your%20court%20to%20decide%20what%20happens%20next."]
The best of both worlds	["The benefits available from two apparently conflicting options."]	["I went on a sailing holiday and got to stay in a cosy beachside villa each night. It seemed like the best of both worlds."]	Britain, 19th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/the-best-of-both-worlds.mp3	excellence	the best of both worlds	["The%20benefits%20available%20from%20two%20apparently%20conflicting%20options."]	["I%20went%20on%20a%20sailing%20holiday%20and%20got%20to%20stay%20in%20a%20cosy%20beachside%20villa%20each%20night.%20It%20seemed%20like%20the%20best%20of%20both%20worlds."]
The best thing since sliced bread	["An outstandingly good idea or plan."]	["Some people hate iPhones Apple fanboys think they are the best thing since sliced bread."]	Britain, 20th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/the-best-thing-since-sliced-bread.mp3	food,excellence	the best thing since sliced bread	["An%20outstandingly%20good%20idea%20or%20plan."]	["Some%20people%20hate%20iPhones%20Apple%20fanboys%20think%20they%20are%20the%20best%20thing%20since%20sliced%20bread."]
The Big Pond	["Nickname of the Atlantic Ocean between the UK and the USA."]	["London's getting boring - I'm planning to hop the big pond and have a weekend in New York."]	USA, 1840s. Previously called, in both UK and USA as 'The Great Pond'.	Mostly USA and Britain.	https://www.phrases.org.uk/idioms/audio/the-big-pond.mp3	location,nature,america	the big pond	["Nickname%20of%20the%20Atlantic%20Ocean%20between%20the%20UK%20and%20the%20USA."]	["London%27s%20getting%20boring%20-%20I%27m%20planning%20to%20hop%20the%20big%20pond%20and%20have%20a%20weekend%20in%20New%20York."]
The bull in the bowler hat	["Jokey term for artificial insemination."]	["Leaving things to nature hasn't worked down here on the farm - only ","% of the cows are pregnant. We need a visit from the bull in the bowler hat."]		Mostly Britain.	https://www.phrases.org.uk/idioms/audio/the-bull-in-the-bowler-hat.mp3	animals,sex,clothes,euphemism	the bull in the bowler hat	["Jokey%20term%20for%20artificial%20insemination."]	["Leaving%20things%20to%20nature%20hasn%27t%20worked%20down%20here%20on%20the%20farm%20-%20only%20","%25%20of%20the%20cows%20are%20pregnant.%20We%20need%20a%20visit%20from%20the%20bull%20in%20the%20bowler%20hat."]
the cream of the crop	["If something or someone is in the cream of the crop, they are among the best of a class of things or people.",""]	["The cream of the crop of this year's high-school graduates will get into the best universities, as usual.","We're only interested in the cream of the crop, so don't send us any second-rate samples."]				c,food,plants	the cream of the crop	["If%20something%20or%20someone%20is%20in%20the%20cream%20of%20the%20crop%2C%20they%20are%20among%20the%20best%20of%20a%20class%20of%20things%20or%20people.",""]	["The%20cream%20of%20the%20crop%20of%20this%20year%27s%20high-school%20graduates%20will%20get%20into%20the%20best%20universities%2C%20as%20usual.","We%27re%20only%20interested%20in%20the%20cream%20of%20the%20crop%2C%20so%20don%27t%20send%20us%20any%20second-rate%20samples."]
